Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFRPUS2&f=W
15:06:36 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline Thousand Barrels per Day
11/30/2007,9092
11/23/2007,9020
11/16/2007,8964
11/9/2007,8895
11/2/2007,8893
10/26/2007,8917
10/19/2007,8998
10/12/2007,8864
10/5/2007,8932
09/28/2007,8698
09/21/2007,8722
09/14/2007,9070
09/7/2007,8911
08/31/2007,9157
08/24/2007,9086
08/17/2007,9287
08/10/2007,9271
08/3/2007,9151
07/27/2007,9429
07/20/2007,9271
07/13/2007,9165
07/6/2007,9229
06/29/2007,9402
06/22/2007,9342
06/15/2007,9328
06/8/2007,9326
06/1/2007,9222
05/25/2007,9258
05/18/2007,9203
05/11/2007,9053
05/4/2007,8931
04/27/2007,8777
04/20/2007,8536
04/13/2007,8664
04/6/2007,8531
03/30/2007,8773
03/23/2007,8928
03/16/2007,8803
03/9/2007,8741
03/2/2007,8590
02/23/2007,8668
02/16/2007,8640
02/9/2007,8907
02/2/2007,9013
01/26/2007,9087
01/19/2007,9106
01/12/2007,9113
01/5/2007,9190
12/29/2006,9326
12/22/2006,9369
12/15/2006,9341
12/8/2006,9283
12/1/2006,9167
11/24/2006,8856
11/17/2006,8699
11/10/2006,8679
11/3/2006,8730
10/27/2006,8763
10/20/2006,8687
10/13/2006,8901
10/6/2006,8878
09/29/2006,8902
09/22/2006,9260
09/15/2006,9156
09/8/2006,9073
09/1/2006,9231
08/25/2006,9141
08/18/2006,9269
08/11/2006,9242
08/4/2006,9169
07/28/2006,9037
07/21/2006,9090
07/14/2006,9228
07/7/2006,9176
06/30/2006,9207
06/23/2006,9327
06/16/2006,9350
06/9/2006,9209
06/2/2006,9137
05/26/2006,9208
05/19/2006,9196
05/12/2006,9177
05/5/2006,8918
04/28/2006,8595
04/21/2006,8470
04/14/2006,8095
04/7/2006,7866
03/31/2006,8134
03/24/2006,8257
03/17/2006,8112
03/10/2006,8389
03/3/2006,8280
02/24/2006,8350
02/17/2006,8484
02/10/2006,8526
02/3/2006,8554
01/27/2006,8664
01/20/2006,8669
01/13/2006,8632
01/6/2006,8617
12/30/2005,8937
12/23/2005,8867
12/16/2005,8694
12/9/2005,8707
12/2/2005,8809
11/25/2005,8966
11/18/2005,8996
11/11/2005,8783
11/4/2005,8626
10/28/2005,8734
10/21/2005,8587
10/14/2005,8545
10/7/2005,7887
09/30/2005,7507
09/23/2005,8586
09/16/2005,8773
09/9/2005,8486
09/2/2005,8063
08/26/2005,8799
08/19/2005,8623
08/12/2005,8725
08/5/2005,8761
07/29/2005,8661
07/22/2005,8741
07/15/2005,8515
07/8/2005,8813
07/1/2005,9218
06/24/2005,9136
06/17/2005,8712
06/10/2005,8967
06/3/2005,9038
05/27/2005,9128
05/20/2005,9034
05/13/2005,8965
05/6/2005,8863
04/29/2005,8752
04/22/2005,8874
04/15/2005,8660
04/8/2005,8698
04/1/2005,8622
03/25/2005,8198
03/18/2005,8261
03/11/2005,8310
03/4/2005,8526
02/25/2005,8485
02/18/2005,8592
02/11/2005,8603
02/4/2005,8552
01/28/2005,8465
01/21/2005,8532
01/14/2005,8436
01/7/2005,8543
12/31/2004,9013
12/24/2004,9165
12/17/2004,8958
12/10/2004,8981
12/3/2004,8819
11/26/2004,8857
11/19/2004,8850
11/12/2004,8808
11/5/2004,8994
10/29/2004,8779
10/22/2004,8924
10/15/2004,8710
10/8/2004,8579
10/1/2004,8615
09/24/2004,8187
09/17/2004,8398
09/10/2004,8858
09/3/2004,8726
08/27/2004,8879
08/20/2004,8817
08/13/2004,8939
08/6/2004,8737
07/30/2004,8832
07/23/2004,8763
07/16/2004,8856
07/9/2004,8840
07/2/2004,8725
06/25/2004,8798
06/18/2004,8655
06/11/2004,8693
06/4/2004,8689
05/28/2004,8817
05/21/2004,8879
05/14/2004,8909
05/7/2004,9082
04/30/2004,8793
04/23/2004,8733
04/16/2004,8729
04/9/2004,8540
04/2/2004,8600
03/26/2004,8530
03/19/2004,8554
03/12/2004,8553
03/5/2004,8148
02/27/2004,8456
02/20/2004,8367
02/13/2004,8414
02/6/2004,8337
01/30/2004,8148
01/23/2004,8142
01/16/2004,8125
01/9/2004,8317
01/2/2004,8488
12/26/2003,8667
12/19/2003,8606
12/12/2003,8713
12/5/2003,8851
11/28/2003,8702
11/21/2003,8733
11/14/2003,8770
11/7/2003,8519
10/31/2003,8526
10/24/2003,8793
10/17/2003,8621
10/10/2003,8659
10/3/2003,8453
09/26/2003,8749
09/19/2003,8785
09/12/2003,8646
09/5/2003,8636
08/29/2003,8846
08/22/2003,8665
08/15/2003,8878
08/8/2003,8717
08/1/2003,8712
07/25/2003,8524
07/18/2003,8723
07/11/2003,8981
07/4/2003,8523
06/27/2003,8657
06/20/2003,8393
06/13/2003,8401
06/6/2003,8582
05/30/2003,8656
05/23/2003,8613
05/16/2003,8461
05/9/2003,8610
05/2/2003,8525
04/25/2003,8430
04/18/2003,8299
04/11/2003,7933
04/4/2003,8143
